date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:10	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%22852c-58d0b0655db80%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.ttf	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.ttf	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:13	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222d968-58d0b06746000%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.eot	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:13	144451/144451	---M--	200	added ('OK')	image/svg+xml	etag:%2223443-58d0b0655db80%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.svg	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:14	694583/694583	---M--	200	added ('OK')	image/svg+xml	etag:%22a9937-58d0b0618d280%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.svg	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:16	74256/74256	---M--	200	added ('OK')	font/woff2	etag:%2212210-58d0b06c0ab40%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.woff2	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.woff2	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:17	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222d968-58d0b06746000%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.eot?	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900d41d.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:20	96256/96256	---M--	200	added ('OK')	font/woff	etag:%2217800-58d0b06b16900%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.woff	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.woff	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:22	186444/186444	---M--	200	added ('OK')	font/ttf	etag:%222d84c-58d0b06b16900%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.ttf	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.ttf	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:24	1698/1698	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a2-58d0b01171580%22	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.eot	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticon.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:25	1698/1698	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a2-58d0b01171580%22	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.eot?	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticond41d.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:26	632/632	---M--	200	added ('OK')	font/woff2	etag:%22278-58d0b012657c0%22	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.woff2	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticon.woff2	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:28	1064/1064	---M--	200	added ('OK')	font/woff	etag:%22428-58d0b012657c0%22	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.woff	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticon.woff	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:28	816926/816926	---M--	200	added ('OK')	image/svg+xml	etag:%22c771e-58d0b06a226c0%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.svg	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-solid-900.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:28	1520/1520	---M--	200	added ('OK')	font/ttf	etag:%225f0-58d0b01171580%22	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.ttf	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticon.ttf	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:28	283/283	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Nov%202020%2005:21:28%20GMT	https://preview.colorlib.com/theme/aranoz/fonts/Flaticon.svg	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/Flaticon.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:29	283/283	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Nov%202020%2005:21:28%20GMT	https://preview.colorlib.com/theme/aranoz/css/Flaticon.svg	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/css/Flaticon.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:30	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58d0b0181e540%22	https://preview.colorlib.com/theme/aranoz/fonts/themify.eot?-fvbane	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/themify9f24.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:33	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-58d0b02484280%22	https://preview.colorlib.com/theme/aranoz/fonts/themify.woff?-fvbane	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/themify9f24.woff	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:33	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58d0b0181e540%22	https://preview.colorlib.com/theme/aranoz/fonts/themify.eot?	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/themifyd41d.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:36	78584/78584	---M--	200	added ('OK')	font/ttf	etag:%22132f8-58d0b025784c0%22	https://preview.colorlib.com/theme/aranoz/fonts/themify.ttf?-fvbane	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/themify9f24.ttf	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:38	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-58d0b0c4bbc80%22	https://preview.colorlib.com/theme/aranoz/img/elements/primary-check.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/primary-check.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:39	67452/67452	---M--	200	added ('OK')	image/png	etag:%221077c-58d0b035aeb00%22	https://preview.colorlib.com/theme/aranoz/img/subscribe_area.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/subscribe_area.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:39	1205/1205	---M--	200	added ('OK')	image/png	etag:%224b5-58d0b0c5afec0%22	https://preview.colorlib.com/theme/aranoz/img/elements/success-check.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/success-check.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:40	1249/1249	---M--	200	added ('OK')	image/png	etag:%224e1-58d0b0ba3e3c0%22	https://preview.colorlib.com/theme/aranoz/img/elements/disabled-check.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/disabled-check.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:41	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%223931d-58d0b01912780%22	https://preview.colorlib.com/theme/aranoz/fonts/themify.svg?-fvbane	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/fonts/themify9f24.svg	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:41	1284/1284	---M--	200	added ('OK')	image/png	etag:%22504-58d0b0c5afec0%22	https://preview.colorlib.com/theme/aranoz/img/elements/primary-radio.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/primary-radio.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:41	1209/1209	---M--	200	added ('OK')	image/png	etag:%224b9-58d0b0c5afec0%22	https://preview.colorlib.com/theme/aranoz/img/elements/success-radio.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/success-radio.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:41	1173/1173	---M--	200	added ('OK')	image/png	etag:%22495-58d0b0bb32600%22	https://preview.colorlib.com/theme/aranoz/img/elements/disabled-radio.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/elements/disabled-radio.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:44	132483/132483	---M--	200	added ('OK')	image/png	etag:%2220583-58d0b02e0d900%22	https://preview.colorlib.com/theme/aranoz/img/breadcrumb.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/breadcrumb.png	(from https://preview.colorlib.com/theme/aranoz/css/style.css)
10:51:44	311417/311417	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/aranoz/css/A.bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css,Mcc.RptZlr4aGY.css.pagespeed.cf.MX3wySJoww.css	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/css/A.bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css,Mcc.RptZlr4aGY.css.pagespeed.cf.MX3wy	(from https://preview.colorlib.com/theme/aranoz/index.html)
10:51:52	453240/453240	---M--	200	added ('OK')	image/png	etag:%226ea78-58d0b0a44f000%22	https://preview.colorlib.com/theme/aranoz/img/blog/single_blog_1.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/blog/single_blog_1.png	(from https://preview.colorlib.com/theme/aranoz/blog.html)
10:51:53	382831/382831	---M--	200	added ('OK')	image/png	etag:%225d76f-58d0b0a543240%22	https://preview.colorlib.com/theme/aranoz/img/blog/single_blog_2.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/blog/single_blog_2.png	(from https://preview.colorlib.com/theme/aranoz/blog.html)
10:51:57	452936/452936	---M--	200	added ('OK')	image/png	etag:%226e948-58d0b0a81f900%22	https://preview.colorlib.com/theme/aranoz/img/blog/single_blog_3.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/blog/single_blog_3.png	(from https://preview.colorlib.com/theme/aranoz/blog.html)
10:51:57	346773/346773	---M--	200	added ('OK')	image/png	etag:%2254a95-58d0b0a72b6c0%22	https://preview.colorlib.com/theme/aranoz/img/blog/single_blog_4.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/img/blog/single_blog_4.png	(from https://preview.colorlib.com/theme/aranoz/blog.html)
